age,salary,experience_years,education_level,department,city_tier,work_hours_per_week,performance_score,promotion_last_5years,target_left_company
56,136748.0,33,PhD,IT,Tier-3,47,3.8,0,1
46,25287.0,28,High School,Finance,Tier-2,40,2.4,1,1
32,146593.0,3,PhD,HR,Tier-1,45,2.9703157894736845,0,0
60,54387.0,16,High School,IT,Tier-3,47,2.6,0,0
25,28512.0,34,Bachelor,Finance,Tier-2,64,1.9,0,1
38,21342.0,12,PhD,Operations,Tier-1,55,4.3,1,1
56,83076.0,38,PhD,Finance,Tier-3,45,2.3,1,0
36,128872.0,14,Bachelor,HR,Tier-3,35,4.3,0,0
40,39216.0,28,Bachelor,Marketing,Tier-2,41,1.0,0,1
28,137512.0,28,Bachelor,Finance,Tier-1,42,2.2,1,0
28,136682.0,10,PhD,Marketing,Tier-1,33,2.0,1,0
41,113070.0,31,Master,Operations,Tier-3,68,1.9,1,1
53,99767.0,1,Master,Finance,Tier-3,31,1.3,0,1
57,117829.0,13,Master,IT,Tier-3,55,1.7,0,1
41,46614.0,19,PhD,Marketing,Tier-1,56,3.2,0,0
20,56258.0,21,Bachelor,Operations,Tier-2,56,2.2,1,1
39,113789.0,10,PhD,IT,Tier-2,44,2.7,1,0
19,84772.0,26,Bachelor,IT,Tier-1,37,2.5,1,1
41,126288.0,2,PhD,IT,Tier-2,36,4.5,0,1
61,103524.0,16,PhD,IT,Tier-3,69,4.6,0,0
47,116573.0,27,Bachelor,Finance,Tier-2,41,3.0,1,0
55,32219.0,28,Master,Finance,Tier-2,42,2.3,0,1
19,20235.0,20,Bachelor,Finance,Tier-2,46,1.4,1,1
38,62929.0,15,High School,Operations,Tier-3,46,4.8,0,0
50,147309.0,36,High School,Operations,Tier-1,65,1.2,1,1
29,87444.0,19,Bachelor,Operations,Tier-3,50,2.2,0,0
39,28567.0,5,PhD,HR,Tier-1,37,2.2,0,0
61,121834.0,18,High School,Operations,Tier-1,34,2.3,1,1
42,84772.0,4,High School,Finance,Tier-1,55,1.7,1,0
44,85441.0,2,High School,Finance,Tier-2,45,4.1,1,0
59,104555.0,0,PhD,HR,Tier-2,65,1.5,1,0
45,93698.0,37,Master,HR,Tier-1,57,3.5,1,1
33,144450.0,14,PhD,Operations,Tier-1,58,1.5,0,0
32,84772.0,33,Bachelor,Marketing,Tier-2,41,1.3,1,1
64,25415.0,34,Bachelor,HR,Tier-3,66,4.6,1,1
61,56159.0,24,Master,IT,Tier-1,59,1.8,1,1
20,63925.0,23,High School,Finance,Tier-3,52,4.3,0,0
54,146523.0,11,High School,IT,Tier-2,45,3.2,1,0
24,84772.0,17,PhD,Finance,Tier-1,43,1.3,1,1
38,107388.0,14,Bachelor,Finance,Tier-3,39,4.8,1,1
26,28007.0,15,High School,HR,Tier-3,36,2.0,0,0
56,146730.0,26,Master,HR,Tier-3,66,4.4,0,1
35,61832.0,7,Master,IT,Tier-2,58,1.7,1,1
21,78596.0,24,Bachelor,Finance,Tier-2,32,4.4,0,0
42,141101.0,16,High School,IT,Tier-3,44,1.1,1,1
31,50523.0,28,High School,Marketing,Tier-3,65,3.0,0,0
26,108861.0,7,Bachelor,IT,Tier-2,48,4.1,1,0
43,144194.0,14,PhD,Operations,Tier-3,42,4.7,0,1
19,106740.0,26,PhD,IT,Tier-3,50,4.6,1,0
37,35524.0,6,High School,Operations,Tier-2,66,4.3,1,0
45,149028.0,2,PhD,Operations,Tier-3,56,4.6,0,0
64,39282.0,28,PhD,Operations,Tier-3,58,1.8,1,1
24,43930.0,23,Master,Marketing,Tier-3,49,2.1,1,1
61,20077.0,2,PhD,IT,Tier-2,54,2.2,1,1
25,125881.0,19,Master,IT,Tier-3,35,2.5,1,0
64,145501.0,14,High School,Marketing,Tier-2,65,2.6,0,0
52,40611.0,24,Bachelor,Finance,Tier-2,31,3.2,1,1
31,36984.0,29,Bachelor,HR,Tier-1,51,2.9703157894736845,0,1
34,34060.0,13,PhD,IT,Tier-1,61,3.8,0,0
53,102985.0,6,PhD,HR,Tier-3,45,1.7,0,1
57,104056.0,16,PhD,Marketing,Tier-2,47,2.2,0,1
21,145329.0,19,Bachelor,Finance,Tier-1,34,3.0,1,1
19,63303.0,35,High School,Finance,Tier-3,65,4.2,1,1
23,79207.0,8,High School,Finance,Tier-1,59,4.0,0,1
59,95046.0,37,Bachelor,Marketing,Tier-1,48,3.6,1,0
21,49287.0,21,High School,Operations,Tier-2,52,1.6,0,1
46,113709.0,1,Bachelor,Operations,Tier-2,63,3.2,1,1
35,59711.0,23,High School,HR,Tier-1,42,1.3,1,0
43,31954.0,7,Master,Operations,Tier-1,58,2.5,1,0
61,93340.0,10,Master,Operations,Tier-2,65,2.7,0,0
51,84772.0,12,Bachelor,Finance,Tier-3,51,1.2,0,0
27,91520.0,16,High School,Finance,Tier-2,65,2.1,1,1
53,107062.0,7,PhD,HR,Tier-1,38,4.8,0,1
31,122974.0,20,High School,IT,Tier-3,68,4.8,0,1
48,38574.0,17,Master,HR,Tier-1,48,2.9703157894736845,1,1
32,29184.0,29,Master,HR,Tier-3,67,1.2,0,0
25,39096.0,17,High School,Marketing,Tier-1,35,1.7,1,0
31,87728.0,30,High School,Marketing,Tier-3,44,2.6,1,1
40,54016.0,37,PhD,HR,Tier-3,49,4.8,1,1
57,31246.0,31,PhD,HR,Tier-1,38,1.6,0,1
38,65558.0,10,High School,HR,Tier-3,61,4.1,1,1
33,138721.0,24,High School,Operations,Tier-2,33,1.4,1,0
62,38381.0,32,High School,Marketing,Tier-1,47,4.9,0,1
35,147796.0,37,High School,HR,Tier-2,34,2.5,0,0
64,56455.0,7,Bachelor,Finance,Tier-1,49,4.1,0,0
41,112263.0,10,High School,Finance,Tier-3,52,2.4,0,0
43,84772.0,21,PhD,Operations,Tier-3,40,3.5,1,0
42,31302.0,23,Master,Operations,Tier-3,66,1.8,0,1
62,87506.0,16,Bachelor,IT,Tier-1,51,1.6,0,1
58,61157.0,11,High School,IT,Tier-2,33,4.8,0,1
46,74917.0,31,Master,IT,Tier-2,58,4.7,0,1
32,112738.0,14,Bachelor,Operations,Tier-1,63,4.5,1,0
62,116646.0,15,Master,Operations,Tier-1,42,3.5,0,0
18,103122.0,21,High School,Operations,Tier-2,38,4.2,1,0
42,44519.0,27,High School,Finance,Tier-2,60,1.3,0,1
24,116809.0,19,PhD,Operations,Tier-2,36,2.3,1,0
